"Incident, Date","Total, Number, of, Dead, and, Missing","Number, of, Survivors","Number, of, Females","Number, of, Males","Number, of, Children","Region, of, Origin","Cause, of, Death","Migration, route","Location, of, death",Coordinates
2014-05-27,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.1525, 32.0667"
2014-05-28,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-109.4814, 31.34675"
2014-05-30,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.636383, 32.437783"
2014-05-30,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.636383, 32.437983"
2014-05-31,62,0,,,,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Gulf, of, Aden","48, 12.5331"
2014-06-01,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.3423, 31.62445"
2014-06-03,1,,,1,,"Central, America","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-110.96816, 31.334397"
2014-06-05,3,,,,,Unknown,"Mixed, or, unknown","Central, Mediterranean","Italian, waters","13, 35.358"
2014-06-06,1,,1,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.670617, 32.564183"
2014-06-08,4,,,,,"Middle, Africa",Drowning,"Central, Mediterranean","Italian, waters","12, 35.4125"
2014-06-09,5,0,,,,Unknown,Drowning,"Central, Mediterranean","Italian, waters","14, 36.4935"
2014-06-09,1,,,1,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.0059, 31.906667"
2014-06-09,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.959966, 32.23316"
2014-06-10,1,,,1,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.9, 32.05"
2014-06-10,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.59816, 32.48843"
2014-06-12,1,,1,,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.396767, 31.778767"
2014-06-12,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.75, 32.833333"
2014-06-12,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.875669, 31.914994"
2014-06-12,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.86507, 31.84452"
2014-06-13,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.58124, 32.14323"
2014-06-14,1,,,1,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.86321, 31.78543"
2014-06-14,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.40091, 31.49908"
2014-06-14,10,39,,,,Unknown,Drowning,"Central, Mediterranean","Between, Libya, and, Sicily","15, 34.2775"
2014-06-14,6,13,5,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Highway, 304,, Chachoengsao-Kabinburi, Rd,, Muangmai, subdistrict,, Ratchasan, District,, Chachoengsao, Province,, Thailand","101, 13.6702361"
2014-06-15,1,356,,,,"Western, Asia","Mixed, or, unknown","Central, Mediterranean","Central, Med, Route, -, Sicily","12, 35.9061"
2014-06-15,2,16,1,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Moo, 4,, Nong, Yai, subdistrict,, Nong, Yai, district,, Chonburi, province,, Thailand","101, 13.1394249"
2014-06-16,29,,,,,Unknown,Drowning,"Western, Africa, /, Atlantic, route, to, the, Canary, Islands","Between, North, Africa, and, Canary, Islands","-13, 28.348645"
2014-06-16,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","La, India, Ranch,, Brooks, County,, Texas,, USA","-98, 27.15310333"
2014-06-18,4,0,,,,Unknown,Violence,"Western, Mediterranean","Morocco/Spain, border, near, Melilla","-3, 35.2783"
2014-06-18,1,,,1,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.71384, 32.16403"
2014-06-18,35,62,1,8,1,"Southern, Asia",Drowning,,"Coast, of, Malaysia, -, Strait, of, Malacca","100, 4.66259"
2014-06-19,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.20567, 32.17175"
2014-06-19,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.64305, 32.4275"
2014-06-25,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.21016, 32.49936"
2014-06-27,240,0,,,,"Eastern, Africa",Drowning,"Central, Mediterranean","TBC, -, boat, went, missing,, not, recovered","17, 34.6033"
2014-06-28,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.00497, 31.39289"
2014-06-29,6,,,4,,"Western, Asia",Drowning,"Central, Mediterranean","Unspecified, location, between, North, Africa, and, Italy., Survivors, taken, to, Porto, Empedocle, in, Sicily.","13, 36.1838"
2014-06-29,45,566,,45,,Unknown,"Vehicle, accident, /, death, linked, to, hazardous, transport","Central, Mediterranean","Unspecified, location, between, North, Africa, and, Italy., Survivors, taken, to, Pozzallo","14.688719, 36.222841"
2014-07-01,75,27,,,,Unknown,Drowning,"Central, Mediterranean","Recued, off, Sicily;, taken, to, Catania,, Sicily","15.8313, 36.4317"
2014-07-01,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.84799, 31.6739"
2014-07-02,1,,,,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.78697, 31.629327"
2014-07-02,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112, 32.375917"
2014-07-05,13,,,,,Unknown,"Mixed, or, unknown","Central, Mediterranean","Boat, drifting, in, Libyan, waters","15, 33.0335"
2014-07-05,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113, 32.081967"
